period,mr_id,project_id,approver_id
Pre-AI,181,170,7
Pre-AI,180,170,4
Pre-AI,179,170,7
Pre-AI,178,170,4
Pre-AI,177,170,185
Pre-AI,176,170,139
Pre-AI,175,170,4
Pre-AI,174,170,139
Pre-AI,173,170,139
Pre-AI,172,170,139
Pre-AI,171,170,139
Pre-AI,170,170,185
Pre-AI,169,170,139
Pre-AI,168,170,185
Pre-AI,167,170,185
Pre-AI,166,170,139
Pre-AI,165,170,139
Pre-AI,163,170,4
Pre-AI,162,170,185
Pre-AI,161,170,185
Pre-AI,160,170,139
Pre-AI,158,170,139
Pre-AI,157,170,139
Pre-AI,156,170,139
Pre-AI,154,170,139
Pre-AI,153,170,139
Pre-AI,152,170,139
Pre-AI,151,170,138
Pre-AI,150,170,4
Pre-AI,149,170,8
Pre-AI,148,170,4
Pre-AI,147,170,4
Pre-AI,146,170,4
Pre-AI,145,170,139
Pre-AI,144,170,185
Pre-AI,143,170,4
Pre-AI,142,170,4
Pre-AI,141,170,185
Pre-AI,140,170,8
Pre-AI,139,170,139
Pre-AI,138,170,139
Pre-AI,137,170,185
Pre-AI,134,170,185
Pre-AI,133,170,139
Pre-AI,132,170,185
Pre-AI,131,170,185
Pre-AI,130,170,185
Pre-AI,129,170,185
Pre-AI,128,170,185
Pre-AI,127,170,185
Pre-AI,126,170,185
Pre-AI,125,170,185
Pre-AI,123,170,4
Pre-AI,122,170,185
Pre-AI,120,170,185
Pre-AI,119,170,185
Pre-AI,118,170,185
Pre-AI,116,170,138
Pre-AI,115,170,4
Pre-AI,113,170,185
Pre-AI,109,170,139
Pre-AI,108,170,139
Pre-AI,107,170,139
Pre-AI,106,170,185
Pre-AI,105,170,185
Pre-AI,105,170,139
Pre-AI,104,170,185
Pre-AI,103,170,185
Pre-AI,100,170,185
Pre-AI,99,170,185
Pre-AI,97,170,185
Pre-AI,96,170,138
Pre-AI,95,170,185
Pre-AI,94,170,185
Pre-AI,93,170,4
Pre-AI,91,170,139
Pre-AI,90,170,139
Pre-AI,89,170,139
Pre-AI,88,170,185
Pre-AI,87,170,185
Pre-AI,86,170,4
Pre-AI,85,170,139
Pre-AI,84,170,139
Pre-AI,83,170,185
Pre-AI,82,170,185
Pre-AI,81,170,185
Pre-AI,79,170,139
Pre-AI,78,170,4
Pre-AI,77,170,185
Pre-AI,76,170,185
Pre-AI,76,170,139
Pre-AI,74,170,185
Pre-AI,73,170,185
Pre-AI,72,170,185
Pre-AI,71,170,7
Pre-AI,70,170,138
Pre-AI,69,170,185
Pre-AI,68,170,4
Pre-AI,67,170,139
Pre-AI,66,170,4
Pre-AI,65,170,185
Pre-AI,64,170,139
Pre-AI,63,170,4
Pre-AI,62,170,185
Pre-AI,61,170,139
Pre-AI,60,170,185
Pre-AI,59,170,139
Pre-AI,58,170,139
Pre-AI,57,170,139
Pre-AI,56,170,7
Pre-AI,55,170,139
Pre-AI,54,170,139
Pre-AI,53,170,185
Pre-AI,52,170,185
Pre-AI,51,170,139
Pre-AI,50,170,4
Pre-AI,49,170,8
Pre-AI,48,170,185
Pre-AI,47,170,139
Pre-AI,46,170,139
Pre-AI,45,170,185
Pre-AI,44,170,139
Pre-AI,42,170,139
Pre-AI,41,170,139
Pre-AI,40,170,7
Pre-AI,39,170,7
Pre-AI,38,170,8
Pre-AI,38,170,139
Pre-AI,37,170,139
Pre-AI,36,170,185
Pre-AI,36,170,139
Pre-AI,35,170,139
Pre-AI,34,170,7
Pre-AI,34,170,185
Pre-AI,33,170,139
Pre-AI,32,170,139
Pre-AI,31,170,4
Pre-AI,30,170,185
Pre-AI,29,170,185
Pre-AI,28,170,139
Pre-AI,27,170,185
Pre-AI,26,170,185
Pre-AI,25,170,7
Pre-AI,24,170,4
Pre-AI,23,170,4
Pre-AI,22,170,4
Pre-AI,20,170,138
Pre-AI,19,170,7
Pre-AI,19,170,139
Pre-AI,18,170,4
Pre-AI,18,170,139
Pre-AI,17,170,4
Pre-AI,17,170,139
Pre-AI,16,170,139
Pre-AI,15,170,185
Pre-AI,14,170,139
Pre-AI,13,170,139
Pre-AI,12,170,185
Pre-AI,11,170,185
Pre-AI,10,170,4
Post-AI,484,170,11
Post-AI,484,170,185
Post-AI,483,170,7
Post-AI,483,170,4
Post-AI,482,170,185
Post-AI,482,170,138
Post-AI,481,170,222
Post-AI,481,170,138
Post-AI,480,170,185
Post-AI,480,170,12
Post-AI,479,170,222
Post-AI,479,170,209
Post-AI,479,170,185
Post-AI,478,170,185
Post-AI,478,170,11
Post-AI,477,170,185
Post-AI,477,170,222
Post-AI,476,170,4
Post-AI,476,170,7
Post-AI,475,170,185
Post-AI,475,170,4
Post-AI,473,170,11
Post-AI,473,170,185
Post-AI,472,170,4
