author_id,author_username,mrs_authored,approvals_given,notes_given,approval_to_author_ratio,review_to_author_ratio,project_breadth,score,is_senior
4,SE_01,67.0,152.0,127.0,2.2686567164179103,1.8955223880597012,5.0,5,True
222,SE_05,78.0,128.0,242.0,1.641025641025641,3.102564102564102,3.0,5,True
185,gbhatnagar,163.0,303.0,305.0,1.8588957055214723,1.8711656441717792,5.0,5,True
11,SE_03,79.0,103.0,85.0,1.3037974683544304,1.0759493670886076,3.0,4,True
7,SE_02,189.0,92.0,115.0,0.4867724867724867,0.6084656084656085,5.0,3,True
12,SE_04,30.0,51.0,107.0,1.7,3.566666666666667,2.0,3,True
181,,0.0,8.0,28.0,8.0,28.0,,2,False
139,NS_03,43.0,67.0,4.0,1.558139534883721,0.0930232558139534,1.0,2,False
138,,0.0,43.0,1.0,43.0,1.0,,2,False
47,NS_01,3.0,3.0,6.0,1.0,2.0,1.0,2,False
8,,0.0,26.0,0.0,26.0,0.0,,2,False
136,NS_02,8.0,10.0,2.0,1.25,0.25,1.0,1,False
60,,0.0,2.0,0.0,2.0,0.0,,1,False
231,NS_06,10.0,0.0,27.0,0.0,2.7,1.0,1,False
233,,0.0,0.0,3.0,0.0,3.0,,1,False
209,NS_04,51.0,16.0,23.0,0.3137254901960784,0.4509803921568627,1.0,0,False
220,NS_05,3.0,0.0,1.0,0.0,0.3333333333333333,1.0,0,False
