period,mr_id,project_id,author_id,author_username,created_at,merged_at,lines_added,lines_deleted,files_changed,target_branch,time_to_merge_hrs,churn_ratio,first_review_at,time_to_first_review_hrs,review_round_trips
Pre-AI,181,170,4,SE_01,2025-12-30T17:15:12.594Z,2026-01-02T05:28:45.271Z,,,,cxt-master,60.22574361111111,,,,
Pre-AI,180,170,209,NS_04,2025-12-29T19:00:36.975Z,2026-01-02T16:55:12.727Z,,,,cxt-master,93.9099311111111,,,,
Pre-AI,179,170,4,SE_01,2025-12-26T14:00:01.531Z,2025-12-29T09:31:04.970Z,,,,cxt-master,67.51762194444444,,2025-12-29T04:32:14.907Z,62.53704888888888,2.0
Pre-AI,178,170,7,SE_02,2025-12-22T11:58:05.772Z,2025-12-23T05:52:03.700Z,,,,cxt-master,17.899424444444445,,,,
Pre-AI,177,170,209,NS_04,2025-12-19T19:13:41.093Z,2025-12-29T16:48:55.543Z,,,,cxt-master,237.5873472222222,,,,
Pre-AI,176,170,7,SE_02,2025-12-18T08:49:51.136Z,2025-12-19T04:08:04.411Z,,,,cxt-master,19.3036875,,,,
Pre-AI,175,170,7,SE_02,2025-12-18T04:54:15.343Z,2025-12-18T05:16:57.202Z,,,,cxt-master,0.3782941666666666,,,,
Pre-AI,174,170,209,NS_04,2025-12-17T21:06:21.761Z,2025-12-18T18:33:08.418Z,,,,cxt-master,21.446293611111116,,,,
Pre-AI,173,170,209,NS_04,2025-12-17T19:17:48.326Z,2025-12-18T18:03:11.609Z,,,,cxt-master,22.7564675,,,,
Pre-AI,172,170,209,NS_04,2025-12-17T17:11:41.433Z,2025-12-17T17:41:39.256Z,,,,cxt-master,0.4993952777777778,,,,
Pre-AI,171,170,209,NS_04,2025-12-16T19:06:14.132Z,2025-12-17T17:39:48.390Z,,,,cxt-master,22.55951611111111,,,,
Pre-AI,170,170,139,NS_03,2025-12-16T17:29:39.649Z,2025-12-16T18:16:52.086Z,,,,cxt-master,0.7867880555555555,,,,
Pre-AI,169,170,209,NS_04,2025-12-15T17:39:22.159Z,2025-12-16T17:12:53.146Z,,,,cxt-master,23.5586075,,,,
Pre-AI,168,170,139,NS_03,2025-12-15T17:04:49.040Z,2025-12-15T17:34:58.296Z,,,,cxt-master,0.5025711111111111,,,,
Pre-AI,167,170,139,NS_03,2025-12-15T16:33:38.545Z,2025-12-15T16:43:40.495Z,,,,cxt-master,0.1672083333333333,,,,
Pre-AI,166,170,209,NS_04,2025-12-15T16:18:38.814Z,2025-12-15T16:37:48.957Z,,,,cxt-master,0.3194841666666667,,,,
Pre-AI,165,170,209,NS_04,2025-12-15T15:57:09.142Z,2025-12-15T16:38:07.334Z,,,,cxt-master,0.6828311111111112,,,,
Pre-AI,163,170,7,SE_02,2025-12-12T11:43:47.334Z,2025-12-15T06:36:23.838Z,,,,cxt-master,66.87680666666667,,,,
Pre-AI,162,170,4,SE_01,2025-12-10T16:34:40.614Z,2025-12-10T17:00:39.321Z,,,,release/rel-2025-12-01,0.4329741666666667,,,,
Pre-AI,161,170,139,NS_03,2025-12-09T17:37:34.739Z,2025-12-09T17:40:06.036Z,,,,cxt-master,0.0420269444444444,,,,
Pre-AI,160,170,7,SE_02,2025-12-09T10:15:20.423Z,2025-12-17T03:10:33.767Z,,,,cxt-master,184.92037333333332,,2025-12-16T07:00:53.345Z,164.75914500000002,2.0
Pre-AI,158,170,209,NS_04,2025-12-08T23:40:31.845Z,2025-12-09T16:05:33.037Z,,,,cxt-master,16.41699777777778,,,,
Pre-AI,157,170,209,NS_04,2025-12-08T16:56:09.214Z,2025-12-08T16:59:30.306Z,,,,cxt-master,0.0558588888888888,,,,
Pre-AI,156,170,185,gbhatnagar,2025-12-08T16:35:35.645Z,2025-12-08T16:40:47.860Z,,,,cxt-master,0.0867263888888888,,,,
Pre-AI,155,170,209,NS_04,2025-12-05T21:08:54.285Z,2025-12-08T16:30:58.466Z,,,,refactor/blueprint-base,67.36782805555556,,,,
Pre-AI,154,170,209,NS_04,2025-12-05T16:21:49.055Z,2025-12-05T16:34:19.667Z,,,,refactor/blueprint-base,0.2085033333333333,,,,
Pre-AI,153,170,209,NS_04,2025-12-04T21:20:11.930Z,2025-12-05T16:32:49.597Z,,,,refactor/blueprint-base,19.21046305555556,,,,
Pre-AI,152,170,209,NS_04,2025-12-03T19:12:44.080Z,2025-12-03T19:30:13.148Z,,,,refactor/blueprint-base,0.2914077777777777,,,,
Pre-AI,151,170,139,NS_03,2025-12-02T18:36:08.005Z,2025-12-02T19:07:58.527Z,,,,cxt-master,0.5307005555555555,,,,
Pre-AI,150,170,7,SE_02,2025-11-28T09:46:04.422Z,2025-12-01T05:05:25.267Z,,,,cxt-master,67.32245694444444,,,,
Pre-AI,149,170,7,SE_02,2025-11-27T04:25:27.330Z,2025-11-27T05:58:52.908Z,,,,cxt-master,1.5571050000000002,,,,
Pre-AI,148,170,7,SE_02,2025-11-26T11:00:29.871Z,2025-11-26T11:05:14.239Z,,,,cxt-master,0.0789911111111111,,,,
Pre-AI,147,170,7,SE_02,2025-11-26T06:45:30.121Z,2025-11-26T10:16:33.666Z,,,,cxt-master,3.517651388888889,,,,
Pre-AI,146,170,7,SE_02,2025-11-25T09:39:02.207Z,2025-11-25T10:22:34.791Z,,,,cxt-master,0.7257177777777777,,,,
Pre-AI,145,170,185,gbhatnagar,2025-11-24T15:41:34.440Z,2025-11-24T16:20:25.014Z,,,,cxt-master,0.6473816666666666,,,,
Pre-AI,144,170,139,NS_03,2025-11-21T17:51:31.439Z,2025-11-21T17:52:41.005Z,,,,cxt-master,0.0193238888888888,,,,
Pre-AI,143,170,7,SE_02,2025-11-21T08:46:14.594Z,2025-11-24T05:37:10.055Z,,,,cxt-master,68.84873916666668,,,,
Pre-AI,142,170,7,SE_02,2025-11-18T05:08:56.050Z,2025-11-18T06:20:27.528Z,,,,cxt-master,1.1920772222222222,,,,
Pre-AI,141,170,139,NS_03,2025-11-17T17:18:38.017Z,2025-11-17T17:24:45.175Z,,,,cxt-master,0.1019883333333333,,,,
Pre-AI,140,170,7,SE_02,2025-11-17T07:18:44.764Z,2025-11-17T08:36:09.608Z,,,,cxt-master,1.2902344444444445,,,,
Pre-AI,139,170,209,NS_04,2025-11-14T22:30:04.434Z,2025-11-17T16:24:19.914Z,,,,cxt-master,65.9043,,,,
Pre-AI,138,170,209,NS_04,2025-11-14T17:49:38.678Z,2025-11-14T20:11:45.289Z,,,,cxt-master,2.368503055555556,,,,
Pre-AI,137,170,139,NS_03,2025-11-12T22:24:26.563Z,2025-11-13T20:22:21.923Z,,,,cxt-master,21.96537777777778,,,,
Pre-AI,136,170,209,NS_04,2025-11-12T22:01:09.397Z,2025-11-12T22:25:27.255Z,,,,refactor/blueprint-base,0.4049605555555555,,,,
Pre-AI,134,170,139,NS_03,2025-11-10T19:45:05.901Z,2025-11-10T19:46:17.753Z,,,,cxt-master,0.0199588888888888,,,,
Pre-AI,133,170,185,gbhatnagar,2025-11-06T21:10:18.024Z,2025-11-06T21:11:45.912Z,,,,cxt-master,0.0244133333333333,,,,
Pre-AI,132,170,139,NS_03,2025-11-06T20:31:50.973Z,2025-11-06T20:34:20.884Z,,,,cxt-master,0.0416419444444444,,,,
Pre-AI,131,170,139,NS_03,2025-11-06T20:30:42.999Z,2025-11-06T20:34:08.556Z,,,,cxt-master,0.0570991666666666,,,,
Pre-AI,130,170,139,NS_03,2025-11-06T16:47:45.052Z,2025-11-06T16:49:39.520Z,,,,cxt-master,0.0317966666666666,,,,
Pre-AI,129,170,7,SE_02,2025-11-04T20:38:57.503Z,2025-11-06T04:21:20.317Z,,,,cxt-master,31.70633722222222,,,,
Pre-AI,128,170,139,NS_03,2025-11-04T18:03:15.173Z,2025-11-04T18:23:29.748Z,,,,cxt-master,0.3373819444444444,,,,
Pre-AI,127,170,139,NS_03,2025-11-03T18:38:37.531Z,2025-11-03T18:40:16.548Z,,,,cxt-master,0.0275047222222222,,,,
Pre-AI,126,170,139,NS_03,2025-11-03T18:14:48.560Z,2025-11-03T18:20:53.158Z,,,,cxt-master,0.1012772222222222,,,,
Pre-AI,125,170,139,NS_03,2025-11-03T18:13:43.961Z,2025-11-03T18:20:56.985Z,,,,cxt-master,0.1202844444444444,,,,
Pre-AI,124,170,7,SE_02,2025-10-31T09:50:43.328Z,2025-11-03T18:11:57.561Z,,,,refactor/blueprint-base,80.35395361111111,,,,
Pre-AI,123,170,7,SE_02,2025-10-30T08:42:38.474Z,2025-10-30T08:49:36.404Z,,,,release/rel-2025-10-02-cxt-master,0.1160916666666666,,,,
Pre-AI,122,170,209,NS_04,2025-10-29T18:05:15.438Z,2025-10-29T18:16:00.737Z,,,,refactor/blueprint-base,0.1792497222222222,,,,
Pre-AI,121,170,7,SE_02,2025-10-29T04:50:28.616Z,2025-10-29T05:15:40.003Z,,,,release/rel-2025-10-02-cxt-master,0.4198297222222222,,,,
Pre-AI,120,170,7,SE_02,2025-10-28T10:25:10.808Z,2025-10-29T06:36:44.472Z,,,,release/rel-2025-10-02-cxt-master,20.19268444444445,,,,
Pre-AI,119,170,139,NS_03,2025-10-24T16:57:03.198Z,2025-10-24T16:58:17.075Z,,,,cxt-master,0.0205213888888888,,,,
Pre-AI,118,170,139,NS_03,2025-10-24T16:26:29.319Z,2025-10-24T16:32:42.441Z,,,,cxt-master,0.103645,,,,
Pre-AI,117,170,7,SE_02,2025-10-24T12:46:59.884Z,2025-10-24T16:28:23.780Z,,,,refactor/blueprint-base,3.6899711111111113,,,,
Pre-AI,116,170,185,gbhatnagar,2025-10-23T22:35:58.456Z,2025-10-23T22:44:45.902Z,,,,cxt-master,0.1465127777777778,,,,
Pre-AI,115,170,7,SE_02,2025-10-23T03:56:26.155Z,2025-10-24T07:52:06.105Z,,,,refactor/blueprint-base,27.927763888888887,,,,
Pre-AI,113,170,139,NS_03,2025-10-22T16:51:28.249Z,2025-10-22T17:12:17.095Z,,,,cxt-master,0.3469016666666666,,,,
Pre-AI,112,170,7,SE_02,2025-10-22T09:31:10.969Z,2025-10-22T16:54:43.131Z,,,,refactor/blueprint-base,7.392267222222222,,,,
Pre-AI,111,170,7,SE_02,2025-10-21T11:22:25.894Z,2025-10-21T16:18:12.802Z,,,,refactor/blueprint-base,4.929696666666667,,,,
Pre-AI,110,170,7,SE_02,2025-10-21T04:10:12.322Z,2025-10-21T04:18:14.705Z,,,,refactor/blueprint-base,0.1339952777777777,,,,
Pre-AI,109,170,185,gbhatnagar,2025-10-20T20:45:46.595Z,2025-10-20T20:52:53.986Z,,,,cxt-master,0.1187197222222222,,,,
Pre-AI,108,170,185,gbhatnagar,2025-10-16T16:05:37.289Z,2025-10-16T18:46:44.930Z,,,,cxt-master,2.685455833333333,,,,
Pre-AI,107,170,7,SE_02,2025-10-16T06:29:50.340Z,2025-10-20T17:16:16.946Z,,,,refactor/blueprint-base,106.77405722222224,,,,
Pre-AI,106,170,209,NS_04,2025-10-15T15:13:11.291Z,2025-10-16T14:01:17.664Z,,,,cxt-master,22.80177027777778,,2025-10-15T20:49:33.575Z,5.60619,2.0
Pre-AI,105,170,209,NS_04,2025-10-14T19:36:37.098Z,2025-10-15T20:56:59.473Z,,,,cxt-master,25.339548611111116,,,,
Pre-AI,104,170,209,NS_04,2025-10-14T19:30:33.967Z,2025-10-14T19:37:39.258Z,,,,cxt-master,0.1181363888888888,,,,
Pre-AI,103,170,139,NS_03,2025-10-14T16:46:11.140Z,2025-10-14T21:39:51.548Z,,,,cxt-master,4.894557777777778,,,,
Pre-AI,102,170,4,SE_01,2025-10-07T09:51:21.992Z,2025-10-07T09:51:30.427Z,,,,release/rel-2025-10-01,0.0023430555555555,,,,
Pre-AI,100,170,209,NS_04,2025-10-02T14:35:35.261Z,2025-10-02T16:02:52.164Z,,,,cxt-master,1.4546952777777775,,,,
Pre-AI,99,170,209,NS_04,2025-09-29T18:46:37.879Z,2025-10-01T15:46:18.837Z,,,,cxt-master,44.99471055555556,,,,
