period,mr_id,project_id,reviewer_id,created_at,resolvable,resolved
Pre-AI,179,170,4,2025-12-29T05:26:48.931Z,True,True
Pre-AI,179,170,4,2025-12-29T05:26:16.240Z,True,True
Pre-AI,179,170,4,2025-12-29T05:25:36.555Z,True,True
Pre-AI,179,170,7,2025-12-29T04:33:58.484Z,True,True
Pre-AI,179,170,7,2025-12-29T04:33:28.496Z,True,True
Pre-AI,179,170,7,2025-12-29T04:32:14.907Z,True,True
Pre-AI,160,170,7,2025-12-16T13:36:40.365Z,True,False
Pre-AI,160,170,4,2025-12-16T11:32:30.409Z,True,False
Pre-AI,160,170,7,2025-12-16T10:30:05.252Z,True,True
Pre-AI,160,170,7,2025-12-16T10:29:48.993Z,True,True
Pre-AI,160,170,7,2025-12-16T10:29:27.414Z,True,True
Pre-AI,160,170,7,2025-12-16T10:26:51.321Z,True,True
Pre-AI,160,170,4,2025-12-16T07:27:42.111Z,True,True
Pre-AI,160,170,4,2025-12-16T07:24:29.519Z,True,True
Pre-AI,160,170,4,2025-12-16T07:01:16.055Z,True,True
Pre-AI,160,170,4,2025-12-16T07:00:53.345Z,True,True
Pre-AI,106,170,209,2025-10-15T20:57:34.969Z,True,False
Pre-AI,106,170,185,2025-10-15T20:49:33.575Z,True,False
Pre-AI,56,170,4,2025-08-14T07:56:18.453Z,True,True
Pre-AI,56,170,4,2025-08-14T03:26:36.533Z,True,True
Pre-AI,56,170,4,2025-08-14T03:24:56.237Z,True,True
Pre-AI,56,170,185,2025-08-13T16:21:59.417Z,True,True
Pre-AI,56,170,185,2025-08-13T16:04:09.077Z,True,True
Pre-AI,42,170,209,2025-07-31T17:31:08.313Z,True,True
Pre-AI,42,170,139,2025-07-31T17:16:20.820Z,True,True
Pre-AI,42,170,209,2025-07-29T13:36:40.553Z,True,True
Pre-AI,42,170,185,2025-07-28T21:28:37.661Z,True,True
Pre-AI,33,170,139,2025-07-21T17:48:55.132Z,True,True
Pre-AI,33,170,139,2025-07-21T17:48:43.431Z,True,True
Pre-AI,26,170,7,2025-07-11T04:43:40.218Z,True,True
Pre-AI,26,170,185,2025-07-11T04:19:18.990Z,True,True
Pre-AI,26,170,7,2025-07-11T03:48:45.702Z,True,True
Pre-AI,26,170,185,2025-07-10T18:07:21.690Z,True,True
Pre-AI,19,170,7,2025-07-09T11:12:29.363Z,False,False
Pre-AI,19,170,4,2025-07-09T11:08:21.925Z,True,True
Pre-AI,19,170,139,2025-07-07T16:49:13.615Z,True,True
Post-AI,479,170,231,2026-06-30T16:54:50.901Z,True,True
Post-AI,479,170,233,2026-06-30T14:49:16.408Z,True,True
Post-AI,478,170,233,2026-06-30T14:49:15.756Z,False,False
Post-AI,478,170,209,2026-06-26T17:33:15.778Z,True,True
Post-AI,478,170,11,2026-06-26T17:30:49.487Z,True,True
Post-AI,478,170,209,2026-06-26T17:25:57.990Z,True,True
Post-AI,478,170,11,2026-06-26T17:19:44.121Z,True,True
Post-AI,477,170,231,2026-06-30T15:58:04.927Z,True,True
Post-AI,477,170,233,2026-06-30T14:49:15.503Z,True,True
Post-AI,475,170,7,2026-06-30T04:33:10.650Z,True,True
Post-AI,475,170,7,2026-06-30T04:32:39.410Z,True,True
Post-AI,475,170,7,2026-06-30T04:07:01.831Z,True,True
Post-AI,475,170,185,2026-06-29T23:11:24.688Z,True,True
Post-AI,475,170,185,2026-06-29T23:09:30.152Z,True,True
Post-AI,475,170,185,2026-06-29T23:04:04.788Z,True,True
Post-AI,475,170,7,2026-06-29T04:20:35.617Z,True,True
Post-AI,475,170,185,2026-06-26T17:18:13.457Z,True,True
Post-AI,460,170,222,2026-06-22T20:46:37.862Z,True,True
Post-AI,448,170,12,2026-06-18T17:17:43.176Z,True,True
Post-AI,448,170,209,2026-06-18T16:46:34.517Z,True,True
Post-AI,448,170,209,2026-06-18T16:43:43.098Z,True,True
Post-AI,448,170,12,2026-06-18T16:29:22.483Z,True,True
Post-AI,448,170,185,2026-06-18T16:24:36.458Z,True,True
Post-AI,436,170,47,2026-06-19T12:04:10.015Z,True,True
Post-AI,436,170,47,2026-06-19T12:03:54.650Z,True,True
Post-AI,436,170,222,2026-06-18T20:08:08.042Z,True,True
Post-AI,436,170,222,2026-06-18T17:17:58.706Z,True,True
Post-AI,434,170,222,2026-06-16T21:53:23.158Z,True,True
Post-AI,434,170,222,2026-06-16T21:53:22.895Z,True,True
Post-AI,434,170,185,2026-06-16T20:19:57.305Z,True,True
Post-AI,431,170,11,2026-06-15T18:29:00.885Z,True,True
Post-AI,431,170,185,2026-06-15T18:08:28.892Z,True,True
Post-AI,416,170,231,2026-06-16T18:54:39.886Z,True,True
Post-AI,416,170,231,2026-06-16T18:54:06.378Z,True,True
Post-AI,416,170,185,2026-06-16T16:56:46.789Z,True,True
Post-AI,416,170,185,2026-06-16T16:53:43.016Z,True,True
Post-AI,416,170,231,2026-06-16T14:32:47.809Z,True,True
Post-AI,416,170,231,2026-06-15T20:53:38.519Z,True,True
Post-AI,416,170,222,2026-06-15T17:36:11.875Z,True,True
Post-AI,416,170,231,2026-06-15T15:22:43.776Z,True,True
Post-AI,416,170,231,2026-06-15T15:21:32.368Z,True,True
Post-AI,416,170,231,2026-06-15T15:20:46.163Z,True,True
Post-AI,416,170,7,2026-06-15T06:35:46.309Z,True,True
Post-AI,416,170,7,2026-06-15T06:32:12.650Z,True,True
Post-AI,416,170,7,2026-06-15T06:03:55.494Z,True,True
Post-AI,416,170,231,2026-06-11T22:34:45.255Z,True,True
Post-AI,416,170,231,2026-06-11T22:33:21.953Z,True,True
Post-AI,416,170,231,2026-06-11T21:53:27.145Z,True,True
Post-AI,416,170,181,2026-06-11T21:14:10.847Z,True,True
Post-AI,416,170,181,2026-06-11T21:13:13.657Z,True,True
Post-AI,415,170,11,2026-06-11T20:21:07.169Z,True,True
Post-AI,415,170,185,2026-06-11T20:12:04.973Z,True,True
Post-AI,413,170,7,2026-06-12T15:01:34.748Z,True,True
Post-AI,413,170,181,2026-06-12T13:14:53.174Z,True,True
Post-AI,413,170,7,2026-06-12T05:40:41.727Z,True,True
Post-AI,413,170,222,2026-06-11T21:17:03.407Z,True,True
Post-AI,411,170,7,2026-06-12T02:56:23.857Z,True,True
Post-AI,411,170,181,2026-06-11T21:09:42.964Z,True,True
Post-AI,397,170,47,2026-06-09T04:41:53.700Z,True,True
Post-AI,397,170,47,2026-06-09T04:33:26.338Z,True,True
Post-AI,397,170,47,2026-06-09T04:25:17.945Z,True,True
Post-AI,397,170,222,2026-06-09T04:00:31.809Z,True,True
Post-AI,397,170,222,2026-06-09T03:51:33.879Z,True,True
Post-AI,397,170,222,2026-06-09T03:42:24.164Z,True,True
Post-AI,397,170,47,2026-06-08T10:10:57.066Z,True,True
Post-AI,397,170,7,2026-06-08T10:08:06.672Z,True,True
Post-AI,384,170,231,2026-06-09T20:23:02.451Z,True,True
Post-AI,384,170,231,2026-06-09T20:22:49.085Z,True,True
Post-AI,384,170,231,2026-06-08T18:19:55.421Z,True,True
Post-AI,384,170,231,2026-06-08T13:16:32.455Z,True,True
Post-AI,384,170,185,2026-06-05T21:19:38.366Z,True,True
Post-AI,384,170,185,2026-06-05T21:14:44.513Z,True,True
Post-AI,374,170,185,2026-06-04T15:23:54.888Z,True,True
Post-AI,374,170,185,2026-06-04T15:23:30.034Z,True,True
Post-AI,374,170,185,2026-06-04T15:21:22.669Z,True,True
Post-AI,374,170,185,2026-06-04T15:19:17.735Z,True,True
Post-AI,374,170,222,2026-06-04T14:10:56.722Z,True,True
Post-AI,374,170,4,2026-06-04T10:52:59.267Z,True,True
Post-AI,374,170,4,2026-06-04T10:52:59.173Z,True,True
Post-AI,374,170,4,2026-06-04T10:52:58.559Z,True,True
Post-AI,374,170,185,2026-06-04T09:19:57.778Z,False,False
Post-AI,372,170,11,2026-06-05T12:48:23.623Z,True,True
Post-AI,372,170,11,2026-06-05T12:47:25.254Z,True,True
Post-AI,372,170,222,2026-06-04T21:42:51.244Z,True,True
Post-AI,372,170,222,2026-06-04T21:41:31.936Z,True,True
Post-AI,372,170,11,2026-06-04T20:50:33.176Z,True,True
Post-AI,372,170,11,2026-06-04T20:50:16.507Z,True,True
Post-AI,372,170,222,2026-06-04T16:09:40.601Z,True,True
Post-AI,372,170,222,2026-06-04T16:09:40.190Z,True,True
Post-AI,372,170,11,2026-06-04T15:12:22.461Z,True,True
Post-AI,372,170,11,2026-06-04T15:07:37.211Z,True,True
Post-AI,372,170,11,2026-06-04T15:02:37.663Z,True,True
Post-AI,372,170,11,2026-06-04T15:02:11.466Z,True,True
Post-AI,372,170,11,2026-06-04T15:01:59.455Z,True,True
Post-AI,372,170,11,2026-06-04T14:51:00.669Z,True,True
Post-AI,372,170,4,2026-06-04T11:38:23.299Z,True,True
